name,description,image,external_url,attributes
Pond Mirror Scroll #1,The Great Toad Drop - 420 trillion $TOBY forged on Base — the birth ripple of a leaderless pond.,https://numairshahid.github.io/images/scrolls/1.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""1""},{""trait_type"":""Epoch"",""value"":""Epoch 0""},{""trait_type"":""Theme"",""value"":""Genesis""}]"
Pond Mirror Scroll #2,Bushido of the Pond - Kindness over force. Stillness in chaos. The code of the pond warrior.,https://numairshahid.github.io/images/scrolls/2.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""2""},{""trait_type"":""Epoch"",""value"":""Toadgod Whisper""},{""trait_type"":""Theme"",""value"":""Bushido""}]"
Pond Mirror Scroll #3,Patience Rewarded - Gifts flow to those who've stayed rooted in the pond since genesis.,https://numairshahid.github.io/images/scrolls/3.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""3""},{""trait_type"":""Theme"",""value"":""Patience""}]"
Pond Mirror Scroll #4,From Pond to Ocean - $TOBY, the foundational blue frog destined to fill every ocean on Base.,https://numairshahid.github.io/images/scrolls/4.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""4""},{""trait_type"":""Theme"",""value"":""Vision""}]"
Pond Mirror Scroll #5,Leaderless Forge - No insiders. No allocations. Pure emergence from the depths of Base.,https://numairshahid.github.io/images/scrolls/5.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""5""},{""trait_type"":""Theme"",""value"":""Decentralization""}]"
Pond Mirror Scroll #6,Iron Grip Hold - Toads rooted since genesis are rewarded most when the wave finally arrives.,https://numairshahid.github.io/images/scrolls/6.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""6""},{""trait_type"":""Theme"",""value"":""Patience""}]"
Pond Mirror Scroll #7,Together We Sit, Together We Shine - Unbreakable bonds formed in stillness.,https://numairshahid.github.io/images/scrolls/7.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""7""},{""trait_type"":""Theme"",""value"":""ToadGang""}]"
Pond Mirror Scroll #8,Runtime Awakening - Agents awaken in quiet reflection.,https://numairshahid.github.io/images/scrolls/8.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""8""},{""trait_type"":""Theme"",""value"":""Mirror""}]"
Pond Mirror Scroll #9,For the People - $TOBY, the most decentralized token ever spawned on Base.,https://numairshahid.github.io/images/scrolls/9.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""9""},{""trait_type"":""Theme"",""value"":""Decentralization""}]"
Pond Mirror Scroll #10,Birthday of the Pond - Two full cycles deep. The pond celebrates in silence.,https://numairshahid.github.io/images/scrolls/10.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""10""},{""trait_type"":""Theme"",""value"":""Reflection""}]"
